Date;Déficit;Dépenses_totales;Recettes_totales;Salaires_fonctionnaires;Price_index;Charge_interet;GDP;GDP_deflator;G 
1980T1;0.1173101318;49.566;49.683;13.413;45.5;1.19;108699.0;36.9741709544584;26.839
1980T2;-0.087845694;51.148;51.06;13.921;46.8;1.269;111636.0;38.1662202618655;27.876
1980T3;-0.612320597;53.357;52.745;14.406;48.2;1.416;114481.0;39.1329977574317;29.012
1980T4;-1.358919998;55.558;54.199;14.882;49.2;1.633;116893.0;40.0110883679052;30.002
1981T1;-1.837149572;58.087;56.25;15.349;50.2;1.919;120745.0;41.1545907241978;31.053
1981T2;-3.187917119;60.852;57.664;15.949;51.4;2.132;124742.0;42.2876861941308;32.338
1981T3;-4.034056472;63.888;59.854;16.68;53.7;2.274;129427.0;43.5580883650061;33.818
1981T4;-3.157987105;66.792;63.634;17.532;54;2.344;134801.0;45.1550559361988;35.548
1982T1;-3.626813132;69.995;66.369;18.391;55.1;2.341;140611.0;46.6894095304522;37.235
1982T2;-4.696691989;72.405;67.708;19.041;55.8;2.429;145401.0;47.9609430781731;38.521
1982T3;-4.873484942;74.69;69.816;19.604;54.1;2.607;148198.0;48.8707572042748;39.618
1982T4;-3.323412711;77.161;73.837;20.134;55.2;2.875;151466.0;49.651166081632;40.564
1983T1;-4.424802562;79.259;74.834;20.654;57.3;3.234;156157.0;50.9540482772963;41.748
1983T2;-4.237969355;81.31;77.072;21.209;56.3;3.519;160429.0;52.3550895257329;42.636
1983T3;-3.542770143;83.586;80.044;21.772;57.1;3.731;164957.0;53.7435338251513;43.639
1983T4;-4.223949444;85.826;81.602;22.318;58;3.871;168319.0;54.6023119686593;44.657
1984T1;-5.151596533;88.441;83.29;22.843;59.1;3.937;172241.0;55.4991309043025;45.746
1984T2;-4.079718069;90.042;85.962;23.286;60.2;4.037;175482.0;56.3512009051096;46.605
1984T3;-5.572783881;92.354;86.781;23.697;61.2;4.171;178764.0;57.1200833550449;47.782
1984T4;-4.454949036;94.45;89.995;24.046;62.3;4.34;180773.0;57.6117889233519;48.612
1985T1;-4.60423466;96.119;91.515;24.399;63.5;4.542;183880.0;58.4947331979112;49.434
1985T2;-4.647585342;98.214;93.566;24.808;64.2;4.72;188211.0;59.4559651027303;50.574
1985T3;-6.753779894;100.163;93.409;25.307;65.1;4.875;191709.0;60.1688097834938;51.46
1985T4;-6.658247052;102.004;95.346;25.848;66.5;5.007;194450.0;60.823675508176;52.513
